Rank,Player,Team,Position,Age,PassCompletions,PassAttempts,PassYards,PassTouchdowns,Interceptions,RushAttempts,RushYards,RushYardsPerAttempt,RushTouchdowns,PassTargets,Receptions,ReceivingYards,ReceivingYardsPerAttempt,ReceivingTouchdowns,Fumbles,FumblesLost,Touchdowns,PPR,PositionRank,OverallRank,ID
318,Irv Smith Jr.,CIN,TE,25,0,0,0,0,0,0,0,,0,23,16,97,6.06,1,1,1,1,29.7,58,,SmitIr01
319,John Bates,WAS,TE,26,0,0,0,0,0,0,0,,0,20,15,131,8.73,0,0,0,0,28.1,60,,BateJo00
320,Chase Claypool,2TM,WR,25,0,0,0,0,0,0,0,,0,16,5,66,13.2,1,0,0,1,17.6,132,,ClayCh01
321,Jimmy Graham,NOR,TE,37,0,0,0,0,0,0,0,,0,3,2,14,7,2,0,0,2,15.4,59,,GrahJi00
322,Lil'Jordan Humphrey,DEN,WR,25,0,0,0,0,0,0,0,,0,9,7,65,9.29,1,0,0,1,19.5,133,,HumpLi01
323,Isaiah Likely,BAL,TE,23,0,0,0,0,0,0,0,,0,18,13,129,9.92,0,0,0,0,25.9,61,,LikeIs00
324,Terrace Marshall Jr.,CAR,WR,23,0,0,0,0,0,0,0,,0,32,18,134,7.44,0,1,0,0,31.4,131,,MarsTe00
325,Ameer Abdullah,LVR,RB,30,0,0,0,0,0,5,30,6,0,17,12,85,7.08,0,0,0,0,23.5,86,,AbduAm00
326,Andrew Beck,HOU,FB,27,0,0,0,0,0,5,3,0.6,1,7,5,19,3.8,0,1,1,2,17.2,84,,BeckAn01
327,Luke Farrell,JAX,TE,26,0,0,0,0,0,0,0,,0,13,11,120,10.91,0,0,0,0,23,63,,FarrLu00
